-40 -38 -42 -42 -45 -49 -50 -56 -56 -58 -51 -46 -40 -42 -47 -32
-32 -39 -33 -25 -21 -18 -20 -17 -8 -5 1 4 11 21 24 29
29 27 36 44 78 108 77 42 -87 58 -64 -128 -44 52 58 6
6 -14 -6 10 18 14 14 10 10 16 23 5 5 12 13 19
19 15 10 11 27 15 23 14 22 16 15 18 17 22 16 13
13 15 12 19 20 20 20 21 18 18 15 17 23 18 10 13
13 14 14 13 15 12 17 16 21 25 17 13 12 7 -7 -20
-20 -25 -39 -26 -24 -14 5 2 2 7 -12 -4 -2 -22 -22 0
0 37 4 7 -18 -28 -40 -43 -46 -56 -54 -51 -46 -49 -41 -43
-43 -46 -49 -44 -55 -55 -58 -53 -80 -60 -54 -51 -53 -53 -48 -44
-44 -41 -41 -45 -40 -43 -42 -40 -42 -44 -44 -45 -40 -41 -42 -38
-38 -36 -43 -35 -41 -41 -40 -40 -38 -39 -31 -38 -38 -41 -43 -48
-48 -51 -51 -54 -58 -61 -66 -56 -55 -37 -44 -41 -40 -30 -23 -10
-10 -2 -1 3 4 9 17 25 27 32 36 52 55 74 117 81
81 23 -46 5 -100 -105 35 52 46 1 -6 21 15 6 38 17
17 10 16 19 14 19 17 14 18 12 22 12 17 25 24 22
22 26 22 15 15 16 17 24 20 16 24 17 23 21 19 19
19 15 22 18 22 26 15 23 29 18 16 17 19 16 14 9
9 10 7 13 12 8 11 9 13 19 16 12 -55 -60 -51 -54
-54 -49 -35 -23 -27 -19 -56 9 -28 -22 -14 -18 -21 -22 -17 -17
-17 -27 -20 -19 -17 -16 -19 -21 -19 -26 -21 -21 -18 -18 -16 -17
-17 -20 -23 -24 -27 -26 -27 -28 -23 -21 -20 -6 -24 -9 -3 -1
-1 -6 -9 -2 -11 -26 -24 -33 -31 -34 -37 -39 -38 -35 -34 -34
-34 -33 -30 -39 -31 -31 -34 -34 -37 -37 -33 -33 -32 -33 -33 -34
-34 -32 -33 -33 -29 -32 -32 -32 -33 -32 -33 -34 -33 -34 -32 -35
-35 -35 -31 -32 -32 -34 -33 -34 -34 -35 -32 -34 -33 -31 -29 -34
-34 -33 -32 -34 -36 -32 -33 -34 -34 -36 -35 -34 -35 -34 -34 -35
